UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Quality Prediction,Quality Status,Quality Confidence,Anomaly,Failure Probability,Risk Level,Maintenance Recommendation,AI Recommendation,Priority,Overall Status,Human Decision,Approval Time,Approved By,AI Overall Risk,Maintenance Probability,Case ID
33.0,L47212,L,299.0,309.4,1419,48.3,91,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00033
34.0,L47213,L,298.9,309.3,1665,32.5,93,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00034
35.0,M14894,M,298.8,309.1,1559,34.7,95,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00035
36.0,M14895,M,298.8,309.2,1452,48.6,98,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00036
37.0,M14896,M,298.9,309.2,1581,36.7,101,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00037
38.0,L47217,L,298.8,309.1,1439,39.2,104,0.0,No Failure,0.0,Good,0.99,Normal,0.01,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00038
39.0,H29452,H,298.9,309.2,1379,50.7,106,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00039
40.0,L47219,L,298.8,309.1,1350,52.5,111,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00040
41.0,L47220,L,298.8,309.1,1362,45.4,113,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00041
42.0,L47221,L,298.8,309.1,1368,50.8,115,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00042
43.0,M14902,M,298.8,309.1,1368,49.1,117,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00043
44.0,H29457,H,298.8,309.2,1372,48.5,120,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00044
45.0,M14904,M,298.8,309.1,1472,47.5,125,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00045
46.0,L47225,L,298.8,309.1,1489,49.1,128,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00046
47.0,M14906,M,298.7,309.0,1843,25.8,130,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00047
48.0,L47227,L,298.8,309.1,1418,46.3,133,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00048
49.0,H29462,H,298.8,309.2,1425,53.9,135,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00049
50.0,M14909,M,298.9,309.2,1412,44.1,140,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00050
51.0,L47230,L,298.9,309.1,2861,4.6,143,1.0,Power Failure,1.0,Defective,1.0,Anomaly,1.0,High,Immediate inspection recommended,CRITICAL: Hold product and stop machine for immediate inspection,Critical,CRITICAL,Approved,2026-09-19 12:30:33,Human Reviewer,,,CASE-00051
52.0,L47231,L,298.9,309.1,1383,54.9,145,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00052
53.0,H29466,H,298.8,309.0,1497,43.8,147,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00053
54.0,L47233,L,298.7,309.0,1565,35.1,152,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00054
55.0,L47234,L,298.7,309.0,1691,30.1,154,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00055
56.0,L47235,L,298.8,309.1,1512,40.7,156,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00056
57.0,L47236,L,298.8,309.1,1477,42.4,158,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00057
58.0,L47237,L,298.8,309.1,1513,40.3,160,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00058
59.0,M14918,M,298.8,309.0,1661,29.5,162,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00059
60.0,L47239,L,298.8,309.1,1378,54.4,165,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00060
61.0,L47240,L,298.8,309.1,1393,52.6,167,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00061
62.0,M14921,M,298.8,309.0,1592,38.2,169,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00062
63.0,L47242,L,298.8,309.0,1829,22.9,172,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00063
64.0,M14923,M,298.9,309.0,1812,25.9,174,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00064
65.0,L47244,L,299.0,309.1,1523,38.6,177,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00065
66.0,L47245,L,299.0,309.1,1394,45.1,179,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00066
67.0,M14926,M,298.9,308.9,1679,28.7,181,0.0,No Failure,0.0,Good,0.98,Normal,0.025,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00067
68.0,H29481,H,298.8,308.9,1466,44.1,184,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00068
69.0,L47248,L,298.8,308.9,1527,32.4,189,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00069
70.0,L47249,L,298.9,309.0,1410,65.7,191,1.0,Power Failure,1.0,Defective,1.0,Normal,1.0,High,Immediate inspection recommended,HIGH PRIORITY: Hold defective product and perform immediate machine inspection,High,ATTENTION REQUIRED,Rejected,2026-09-19 12:31:16,Human Reviewer,,,CASE-00070
71.0,M14930,M,298.9,309.0,1924,22.6,193,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00071
72.0,L47251,L,298.9,309.1,1452,45.5,196,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00072
73.0,L47252,L,298.9,309.1,1369,44.4,198,0.0,No Failure,0.0,Good,0.96,Normal,0.035,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00073
74.0,L47253,L,299.0,309.1,1592,35.0,200,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00074
75.0,L47254,L,298.9,309.0,1601,32.3,202,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00075
76.0,L47255,L,298.8,308.9,1379,46.7,204,0.0,No Failure,0.0,Good,0.61,Normal,0.38,Medium,Schedule maintenance inspection,MAINTENANCE NOTICE: Schedule preventive maintenance,Medium,MONITOR,Pending,,,,,CASE-00076
77.0,L47256,L,298.8,308.9,1461,47.9,206,0.0,No Failure,0.0,Good,0.95,Normal,0.08,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00077
78.0,L47257,L,298.8,308.9,1455,41.3,208,1.0,Tool Wear Failure,1.0,Defective,1.0,Normal,1.0,High,Immediate inspection recommended,HIGH PRIORITY: Hold defective product and perform immediate machine inspection,High,ATTENTION REQUIRED,Approved,2026-09-19 12:35:13,Human Reviewer,,,CASE-00078
79.0,L47258,L,298.8,308.9,1398,51.5,0,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00079
80.0,L47259,L,298.8,308.9,1402,37.9,2,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00080
81.0,H29494,H,298.8,308.8,1445,49.9,4,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00081
82.0,L47261,L,298.9,308.9,1450,47.5,9,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00082
83.0,L47262,L,298.9,308.9,1453,40.8,11,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00083
84.0,L47263,L,299.0,309.0,1469,40.1,13,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00084
85.0,L47264,L,298.9,308.9,1422,47.6,15,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00085
86.0,M14945,M,299.0,309.0,1804,26.8,17,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00086
87.0,H29500,H,299.0,309.0,1436,43.9,20,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00087
88.0,L47267,L,299.0,309.0,1544,31.8,25,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00088
89.0,M14948,M,299.0,309.0,1419,45.2,27,0.0,No Failure,0.0,Good,0.94,Normal,0.045,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00089
90.0,M14949,M,298.9,308.9,1487,39.5,30,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00090
91.0,L47270,L,298.9,308.9,1753,25.8,33,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00091
92.0,L47271,L,298.9,308.9,1830,24.9,35,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00092
93.0,M14952,M,298.9,308.9,1727,27.1,37,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00093
94.0,L47273,L,299.1,309.0,1450,43.0,40,0.0,No Failure,0.0,Good,0.99,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00094
95.0,L47274,L,299.0,308.9,1622,31.9,42,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00095
96.0,M14955,M,299.0,309.0,1351,52.2,44,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00096
97.0,M14956,M,299.0,309.0,1575,35.3,47,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00097
98.0,M14957,M,298.9,308.9,1750,29.9,50,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00098
99.0,L47278,L,298.9,308.8,1529,32.7,53,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00099
100.0,L47279,L,298.8,308.8,1523,44.4,55,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00100
101.0,L47280,L,298.8,308.9,1852,25.0,57,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00101
102.0,L47281,L,298.8,308.8,1991,20.7,59,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00102
103.0,L47282,L,298.8,308.8,1555,40.6,61,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00103
104.0,M14963,M,298.8,308.8,1441,40.5,63,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00104
105.0,L47284,L,298.8,308.7,1450,43.4,66,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00105
106.0,L47285,L,298.8,308.7,1591,31.1,68,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00106
107.0,L47286,L,298.8,308.7,1445,48.5,70,0.0,No Failure,0.0,Good,1.0,Normal,0.01,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00107
108.0,M14967,M,298.8,308.8,1497,46.8,72,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00108
109.0,H29522,H,298.9,308.8,1621,32.7,75,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00109
110.0,L47289,L,298.9,308.7,1572,34.1,80,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00110
111.0,L47290,L,298.8,308.6,1872,22.5,82,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00111
112.0,H29525,H,298.7,308.6,1499,43.5,84,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00112
113.0,M14972,M,298.8,308.7,1498,39.5,89,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00113
114.0,M14973,M,298.8,308.6,1486,41.9,92,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00114
115.0,L47294,L,298.8,308.6,1680,29.4,95,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00115
116.0,L47295,L,298.8,308.6,1431,45.7,97,0.0,No Failure,0.0,Good,1.0,Normal,0.005,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00116
117.0,L47296,L,298.9,308.7,1564,34.1,99,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00117
118.0,L47297,L,298.8,308.6,1599,33.0,101,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00118
119.0,M14978,M,298.8,308.6,1707,28.1,103,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00119
120.0,L47299,L,298.7,308.5,1467,40.7,106,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00120
121.0,L47300,L,298.9,308.7,1433,44.7,108,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00121
122.0,L47301,L,298.9,308.7,1558,41.2,110,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00122
123.0,L47302,L,299.0,308.8,1310,50.7,112,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00123
124.0,L47303,L,298.9,308.7,1546,43.4,114,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00124
125.0,L47304,L,298.9,308.7,1727,29.4,116,0.0,No Failure,0.0,Good,1.0,Normal,0.0,Low,Continue normal operation,NORMAL: Continue operation and monitor machine,Low,NORMAL,Pending,,,,,CASE-00125
